Customer_ID,Customer_Segment,Churn_Risk,Purchased_Product,Recommendation_1,Recommendation_2,Recommendation_3,Recommendation_4,Recommendation_5,Recommended_Action
1,Regular Customer,No,Blouse,Shirt,Hoodie,Shorts,Socks,Pants,Standard product recommendation
2,Budget Happy Customer,No,Sweater,Jeans,Pants,Skirt,Hoodie,Shorts,Standard product recommendation
3,Budget Happy Customer,No,Jeans,Pants,Skirt,Hoodie,Shorts,Sweater,Standard product recommendation
4,At-Risk Customer,No,Sandals,Sneakers,Boots,Shoes,,,Standard product recommendation
5,High-Value New Customer,Yes,Blouse,Socks,Dress,Jeans,T-shirt,Skirt,Send win-back discount
6,Regular Customer,No,Sneakers,Shoes,Boots,Sandals,,,Standard product recommendation
7,Premium Customer,No,Shirt,Pants,Skirt,Sweater,Blouse,Dress,Upsell premium / new arrivals
8,Loyal Customer,No,Shorts,Blouse,Skirt,Pants,Jeans,Hoodie,Upsell premium / new arrivals
9,High-Value New Customer,Yes,Coat,Jacket,Shorts,Hoodie,Skirt,T-shirt,Send win-back discount
10,Loyal Customer,No,Handbag,Jewelry,Sunglasses,Scarf,Gloves,Belt,Upsell premium / new arrivals
11,Regular Customer,No,Shoes,Sandals,Sneakers,Boots,,,Standard product recommendation
12,Loyal Customer,No,Shorts,Pants,T-shirt,Sweater,Jeans,Shirt,Upsell premium / new arrivals
13,Premium Customer,No,Coat,Jacket,,,,,Upsell premium / new arrivals
14,Premium Customer,No,Dress,Pants,Skirt,Hoodie,Socks,T-shirt,Upsell premium / new arrivals
15,Premium Customer,No,Coat,Jacket,,,,,Upsell premium / new arrivals
16,Budget Happy Customer,No,Skirt,Pants,T-shirt,Socks,Shirt,Shorts,Standard product recommendation
17,At-Risk Customer,No,Sunglasses,Belt,Backpack,Gloves,Hat,Handbag,Standard product recommendation
18,Premium Customer,No,Dress,Sweater,Jeans,Pants,Blouse,Socks,Upsell premium / new arrivals
19,Loyal Customer,No,Sweater,Dress,Pants,Skirt,Jeans,Shirt,Upsell premium / new arrivals
20,Premium Customer,No,Pants,Skirt,Sweater,Blouse,Dress,Shirt,Upsell premium / new arrivals
21,At-Risk Customer,No,Pants,Shirt,Dress,Shorts,Sweater,T-shirt,Standard product recommendation
22,Loyal Customer,No,Pants,Shorts,T-shirt,Sweater,Jeans,Shirt,Upsell premium / new arrivals
23,High-Value New Customer,Yes,Pants,Sweater,Shirt,Blouse,Hoodie,Socks,Send win-back discount
24,At-Risk Customer,No,Pants,Sweater,Hoodie,Socks,T-shirt,Dress,Standard product recommendation
25,Loyal Customer,No,Jacket,Coat,,,,,Upsell premium / new arrivals
26,High-Value New Customer,No,Hoodie,Shirt,Shorts,Blouse,Pants,Dress,Standard product recommendation
27,High-Value New Customer,No,Jewelry,Sunglasses,Gloves,Scarf,Handbag,Belt,Standard product recommendation
28,Loyal Customer,No,Shorts,Pants,T-shirt,Sweater,Jeans,Shirt,Upsell premium / new arrivals
29,Premium Customer,No,Handbag,Sunglasses,Scarf,Hat,Gloves,Belt,Upsell premium / new arrivals
30,Loyal Customer,No,Dress,Sweater,Pants,Skirt,Jeans,Shirt,Upsell premium / new arrivals
31,Loyal Customer,No,Jewelry,Sunglasses,Scarf,Gloves,Handbag,Belt,Upsell premium / new arrivals
32,At-Risk Customer,No,Dress,T-shirt,Sweater,Shirt,Skirt,Pants,Standard product recommendation
33,High-Value New Customer,No,Jacket,Coat,,,,,Standard product recommendation
34,Regular Customer,No,Pants,Blouse,Shirt,Skirt,Sweater,T-shirt,Standard product recommendation
35,Premium Customer,No,T-shirt,Skirt,Jeans,Pants,Sweater,Shirt,Upsell premium / new arrivals
36,Regular Customer,No,Blouse,Hoodie,Skirt,Dress,Sweater,Shorts,Standard product recommendation
37,At-Risk Customer,No,T-shirt,Sweater,Dress,Shirt,Skirt,Pants,Standard product recommendation
38,Budget Happy Customer,No,Jeans,Hoodie,Sweater,Dress,Pants,Socks,Standard product recommendation
39,At-Risk Customer,No,Dress,Skirt,Hoodie,T-shirt,Shorts,Sweater,Standard product recommendation
40,Premium Customer,No,Pants,Skirt,Hoodie,Socks,T-shirt,Jeans,Upsell premium / new arrivals
41,Premium Customer,No,Handbag,Jewelry,Belt,Scarf,Sunglasses,Hat,Upsell premium / new arrivals
42,High-Value New Customer,No,Scarf,Handbag,Jewelry,Gloves,Backpack,Sunglasses,Standard product recommendation
43,High-Value New Customer,No,Coat,Jacket,Shirt,Hoodie,T-shirt,Dress,Standard product recommendation
44,Loyal Customer,No,Scarf,Belt,Backpack,Hat,Gloves,Handbag,Upsell premium / new arrivals
45,At-Risk Customer,No,Hat,Backpack,Gloves,Sunglasses,Scarf,Jewelry,Standard product recommendation
46,High-Value New Customer,Yes,Socks,Dress,Blouse,Jeans,T-shirt,Skirt,Send win-back discount
47,Regular Customer,No,Shirt,T-shirt,Socks,Dress,Pants,Hoodie,Standard product recommendation
48,Premium Customer,No,Jewelry,Belt,Scarf,Sunglasses,Hat,Gloves,Upsell premium / new arrivals
49,Regular Customer,No,Shirt,Pants,Sweater,Jeans,Dress,T-shirt,Standard product recommendation
50,Regular Customer,No,Hoodie,Skirt,Dress,Sweater,Shorts,Jeans,Standard product recommendation
51,Regular Customer,No,Blouse,Shirt,Skirt,Sweater,T-shirt,Dress,Standard product recommendation
52,Premium Customer,No,Skirt,Pants,Hoodie,Socks,T-shirt,Jeans,Upsell premium / new arrivals
53,Regular Customer,No,T-shirt,Shirt,Socks,Dress,Pants,Hoodie,Standard product recommendation
54,At-Risk Customer,No,Skirt,Hoodie,T-shirt,Shorts,Sweater,Shirt,Standard product recommendation
55,Premium Customer,No,Coat,Jacket,,,,,Upsell premium / new arrivals
56,High-Value New Customer,Yes,Jacket,Coat,,,,,Send win-back discount
57,At-Risk Customer,No,Backpack,Gloves,Sunglasses,Hat,Scarf,Jewelry,Standard product recommendation
58,Loyal Customer,No,Coat,Jacket,,,,,Upsell premium / new arrivals
59,Premium Customer,No,Hoodie,Pants,Skirt,Socks,T-shirt,Jeans,Upsell premium / new arrivals
60,Premium Customer,No,Belt,Jewelry,Scarf,Sunglasses,Hat,Gloves,Upsell premium / new arrivals
61,Loyal Customer,No,Sweater,Dress,Pants,Skirt,Jeans,Shirt,Upsell premium / new arrivals
62,Premium Customer,No,Scarf,Jewelry,Belt,Sunglasses,Hat,Gloves,Upsell premium / new arrivals
63,At-Risk Customer,No,Sneakers,Sandals,Shoes,Boots,,,Standard product recommendation
64,Budget Happy Customer,No,Sunglasses,Handbag,Gloves,Belt,Backpack,Hat,Standard product recommendation
65,Premium Customer,No,Boots,Sandals,Shoes,Sneakers,,,Upsell premium / new arrivals
66,Premium Customer,No,Backpack,Gloves,Jewelry,Belt,Hat,Sunglasses,Upsell premium / new arrivals
67,Loyal Customer,No,Blouse,Socks,Jeans,Sweater,Hoodie,Pants,Upsell premium / new arrivals
68,At-Risk Customer,No,Coat,Jacket,,,,,Standard product recommendation
69,Regular Customer,No,Handbag,Gloves,Backpack,Scarf,Sunglasses,Jewelry,Standard product recommendation
70,Loyal Customer,No,Belt,Gloves,Hat,Handbag,Jewelry,Backpack,Upsell premium / new arrivals
71,At-Risk Customer,No,Belt,Backpack,Gloves,Hat,Handbag,Sunglasses,Standard product recommendation
72,High-Value New Customer,Yes,Dress,Socks,Blouse,Jeans,T-shirt,Skirt,Send win-back discount
73,Loyal Customer,No,Dress,T-shirt,Socks,Jeans,Blouse,Shorts,Upsell premium / new arrivals
74,Budget Happy Customer,No,Pants,T-shirt,Socks,Shirt,Shorts,Skirt,Standard product recommendation
75,Loyal Customer,No,Gloves,Hat,Handbag,Belt,Jewelry,Backpack,Upsell premium / new arrivals
76,High-Value New Customer,No,Scarf,Gloves,Sunglasses,Backpack,Handbag,Jewelry,Standard product recommendation
77,Regular Customer,No,Hat,Backpack,Jewelry,Scarf,Sunglasses,Gloves,Standard product recommendation
78,At-Risk Customer,No,Dress,Shorts,T-shirt,Sweater,Jeans,Shirt,Standard product recommendation
79,Premium Customer,No,Skirt,Jeans,Pants,Sweater,Shirt,T-shirt,Upsell premium / new arrivals
80,Budget Happy Customer,No,Jacket,Coat,,,,,Standard product recommendation
81,At-Risk Customer,No,Sandals,Sneakers,Shoes,Boots,,,Standard product recommendation
82,Budget Happy Customer,No,Shoes,Sandals,Sneakers,Boots,,,Standard product recommendation
83,Loyal Customer,No,Pants,Dress,Sweater,Skirt,Jeans,Shirt,Upsell premium / new arrivals
84,At-Risk Customer,No,Dress,T-shirt,Shorts,Pants,Hoodie,Sweater,Standard product recommendation
85,Regular Customer,No,Coat,Jacket,,,,,Standard product recommendation
